,Jeu,Commentaire,Commentaire_English
216,Grand Theft Auto VI,"80 millions in 19 hours is crazy,it shows how  iconic this series really is",en
217,Grand Theft Auto VI,"It’s been 2 months since the trailer come out, I can’t wait for another 5 months for Trailer 2!",en
218,Grand Theft Auto VI,Wow   افضل جزء في تاريخ قراند,ar
219,Grand Theft Auto VI,Evrey day I’m coming here to see it,en
220,Grand Theft Auto VI,A minute of silence in honor of all loyal fans who didn't live to see this legendary moment.,en
221,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
222,Grand Theft Auto VI,136 million views and 10 mln like is insane. Goes to show how anticipated and iconic this series truly is.,en
223,Grand Theft Auto VI,LOVE YOU ROCKSTAR FOR THIS AMAZING SURPRISE ,en
224,Grand Theft Auto VI,This was the best gta trailer I've seen last year,en
225,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
226,Grand Theft Auto VI,"working car mirrors ,yes!!  first person is going to be so sweet 1:01 if you slow it down you can see the beauty . car customization can't wait",en
227,Grand Theft Auto VI,This is best thing that ever happened in my life,en
228,Grand Theft Auto VI,"born too late to explore the world,

born too early to explore the galaxy,

born just in time to play this masterpiece",en
229,Grand Theft Auto VI,Been watching this for the 20th time  cant wait,en
230,Grand Theft Auto VI,Time flies quickly :),fr
231,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
232,Grand Theft Auto VI,"Finally  
Watching after 2 months",en
233,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
234,Grand Theft Auto VI,This trailer really makes you FEEL like you've been waiting a third of your life for it.,en
235,Grand Theft Auto VI,Something about this just bring a smile to my face:),en
236,Grand Theft Auto VI,"I miss the days of floating money and guns, vulgar radio stations and pure simplicity there’s was only one true love in my life, “Grand theft auto vice city”",en
237,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
238,Grand Theft Auto VI,Gta 6 e uma lenda obrigado rockstar por esse jogo maravilhoso que está a nos proporcionar de coração mesmo obrigado muito vai  ser um sucesso igual gta 5 e Red dead redepemption 2,pt
239,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
240,Grand Theft Auto VI,"I want to say a huge thank you to Michael, Franklin and Trevor for keeping us company for 12 years!",en
241,Grand Theft Auto VI,Yes yes yes  10 years of waiting,en
242,Grand Theft Auto VI,Oh yes im excited for the next franchise ,en
243,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
244,Grand Theft Auto VI,It remains always banger of all time ,en
245,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
246,Grand Theft Auto VI,"65 millions views in 14 hours is insane, shows how anticipated and loved this franchise is.",en
247,Grand Theft Auto VI,"This is officially Rockstar's most viewed video, and well deserved too! ",en
248,Grand Theft Auto VI,Florida men raise up! This is so hype.,en
249,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
250,Grand Theft Auto VI,I never saw this quality of graphics in another game in my live,en
251,Grand Theft Auto VI,Here for the trailer 2.,en
252,Grand Theft Auto VI,53 million views for a video game trailer in 10 hours is absolutely wild. The hype is unprecedented,en
253,Grand Theft Auto VI,FINALLY a game where the next gen is real,en
254,Grand Theft Auto VI,10 Years for this,en
255,Grand Theft Auto VI,Still can not believe that this happened,en
256,Grand Theft Auto VI,Here to mark myself as a witness of this upcoming masterpiece 🥹,en
